hf_rank,bgg_rank,name,hyperfixation
280,928,Last Bastion,1.9515
281,56,Agricola,1.9462
282,442,Blitzkrieg!: World War Two in 20 Minutes,1.9455
283,698,Zombicide,1.945
284,172,Too Many Bones: Undertow,1.9444
285,976,Black Sonata,1.944
286,943,Ohanami,1.9439
287,914,Startups,1.9437
288,154,Roll for the Galaxy,1.9409
289,716,Telestrations: 12 Player Party Pack,1.9389
290,836,Tiny Epic Dungeons,1.9354
291,555,Pandemic: The Cure,1.9346
292,873,Incan Gold,1.9333
293,229,Star Wars: The Deckbuilding Game,1.9314
294,269,Zombicide: Black Plague,1.9313
295,576,Raptor,1.926
296,79,Agricola (Revised Edition),1.9248
297,537,Mystic Vale,1.9073
298,482,Imperium: Legends,1.9
299,267,Sushi Go Party!,1.8967
300,595,Splendor: Marvel,1.8933
301,97,Robinson Crusoe: Adventures on the Cursed Island,1.8885
302,553,Potion Explosion,1.8882
303,210,Sagrada,1.8876
304,799,Top Ten,1.8868
305,938,Arcadia Quest: Inferno,1.8859
306,602,Love Letter: Premium Edition,1.8853
307,536,Stuffed Fables,1.8842
308,958,Codex Naturalis,1.8823
309,13,Twilight Struggle,1.8822
310,440,Cartographers Heroes,1.8809
311,100,SCOUT,1.8783
312,628,Galaxy Trucker (Second Edition),1.8701
313,474,Biblios,1.8698
314,616,Unmatched Adventures: Tales to Amaze,1.8686
315,481,Space Hulk (Third Edition),1.8667
316,725,Living Forest,1.8659
317,112,Splendor Duel,1.8639
318,12,Gaia Project,1.8618
319,152,Just One,1.8592
320,35,Mage Knight Board Game,1.8587
321,170,Ticket to Ride: Europe,1.8562
322,796,Space Hulk: Death Angel – The Card Game,1.8562
323,102,The Search for Planet X,1.8538
324,793,The Shipwreck Arcana,1.8531
325,318,Seasons,1.853
326,29,Lost Ruins of Arnak,1.8517
327,105,Decrypto,1.849
328,663,Azul: Queen's Garden,1.8471
329,227,Captain Sonar,1.8403
330,681,Silver & Gold,1.8395
331,436,Mage Wars Arena,1.8333
332,62,Obsession,1.8328
333,189,Unmatched: Cobble & Fog,1.8255
334,15,The Castles of Burgundy,1.8242
335,450,Dice Forge,1.8212
336,785,Oh My Goods!,1.8172
337,439,Saint Petersburg,1.816
338,644,Carcassonne: Hunters and Gatherers,1.8152
339,503,Caper: Europe,1.8105
340,627,Karuba,1.8083
341,44,Pax Pamir: Second Edition,1.8078
342,814,Menara,1.8074
343,57,Cthulhu: Death May Die,1.8072
344,132,Voidfall,1.8059
345,48,Puerto Rico,1.8052
346,794,Carcassonne: The Castle,1.8036
347,813,Wits & Wagers,1.8035
348,697,Zombicide: Green Horde,1.8032
349,724,Taluva,1.8014
350,260,Camel Up (Second Edition),1.8004
351,348,Imperial Settlers,1.8
352,368,Nusfjord,1.7994
353,848,Rhino Hero: Super Battle,1.799
354,270,Flamme Rouge,1.7985
355,373,Project L,1.7972
356,791,Love Letter: Batman,1.7939
357,926,Dungeons & Dragons: The Legend of Drizzt Board Game,1.7899
358,103,Wingspan Asia,1.787
359,490,Flash Point: Fire Rescue,1.7831
360,447,Downforce,1.7755
361,733,Elder Sign,1.7731
362,624,Horizons of Spirit Island,1.7692
363,414,Frostpunk: The Board Game,1.7642
364,31,Terra Mystica,1.7639
365,250,Calico,1.7626
366,811,Earth Reborn,1.7625
367,513,The Vale of Eternity,1.7619
368,701,Gears of War: The Board Game,1.7619
369,528,High Society,1.7618
370,564,Descent: Journeys in the Dark,1.7607
371,196,Planet Unknown,1.7532
372,284,Tapestry,1.7531
373,596,Fleet: The Dice Game,1.7514
374,916,Squad Leader,1.75
375,396,Gizmos,1.7493
376,986,Thunderstone,1.74
377,402,BattleLore: Second Edition,1.7394
378,422,The Guild of Merchant Explorers,1.736
379,18,Scythe,1.7354
380,737,Pax Renaissance,1.7348
381,377,Burgle Bros.,1.7332
382,855,Deep Sea Adventure,1.7288
383,27,Great Western Trail: Second Edition,1.725
384,709,Three Sisters,1.7244
385,524,Imperial Settlers: Empires of the North,1.7242
386,996,Istanbul: The Dice Game,1.7214
387,804,Wir sind das Volk!,1.7207
388,67,Maracaibo,1.7113
389,411,"Air, Land, & Sea",1.7069
390,176,Stone Age,1.7057
391,275,Glory to Rome,1.7028
392,704,Conan,1.7024
393,660,Let's Go! To Japan,1.7019
394,249,Near and Far,1.7014
395,956,Forbidden Island,1.7009
396,929,Morels,1.6993
397,220,Ticket to Ride: Nordic Countries,1.6991
398,966,Evergreen,1.6991
399,290,Detective: A Modern Crime Board Game,1.6985
400,496,Thunderstone Quest,1.6984
401,441,Arkham Horror,1.6979
402,500,Claustrophobia,1.6967
403,740,High Frontier 4 All,1.6951
404,775,D-Day at Omaha Beach,1.694
405,504,The LOOP,1.6923
406,458,Tiny Towns,1.6897
